C1:  FKS1 RHO1
C2:  GSC2 SMK1
C3:  SEM1 ECM29 UBP6 NAS6 RPN1 RPN10 RPN11 RPN12 RPN13 RPN2 RPN3 RPN5 RPN6 RPN7 RPN8 RPN9 RPT1 RPT2 RPT3 RPT4 RPT5 RPT6
C4:  PRE1 PRE10 PRE2 PRE3 PRE4 PRE5 PRE6 PRE7 PRE8 PRE9 PUP1 PUP2 PUP3 SCL1
C5:  PFK1 PFK2
C6:  ILV2 ILV6
C7:  END3 PAN1 SLA1
C8:  ADA2 AHC1 GCN5 HFI1 NGG1
C9:  CYR1 SRV2
C10:  TRM11 TRM112
C11:  POL1 POL12 PRI1 PRI2
C12:  TPS1 TPS2 TPS3 TSL1
C13:  ANP1 HOC1 MNN10 MNN11 MNN9
C14:  MNN9 VAN1
C15:  APC1 APC11 APC2 APC4 APC5 APC9 CDC16 CDC20 CDC23 CDC26 CDC27 CDH1 DOC1 MND2 SWM1
C16:  TRP2 TRP3
C17:  APL2 APL4 APM1 APM2 APS1
C18:  APL1 APL3 APM4 APS2
C19:  APL5 APL6 APM3 APS3
C20:  ATG12 ATG16 ATG5
C21:  ARG2 ARG5,6
C22:  ARG80 ARG81 ARG82 MCM1
C23:  ARC15 ARC18 ARC19 ARC35 ARC40 ARP2 ARP3
C24:  ATG20 SNX4 SNX41
C25:  IPL1 SLI15
C26:  BI3 MRS1
C27:  BI4 NAM2
C28:  BNI4 GLC7
C29:  NOP58 NOP1 SNU13 SIK1
C30:  BUB1 BUB3
C31:  BUB2 BFA1
C32:  BUD14 GLC7
C33:  CDC43 RAM2
C34:  CMP2 CNA1 CNB1
C35:  BCY1 TPK1 TPK2 TPK3
C36:  ARG3 CAR1
C37:  CPA1 CPA2
C38:  CTK1 CTK2 CTK3
C39:  CBF1 MET28 MET4
C40:  CBF2 CEP3 CTF13 SKP1
C41:  CBP1 PET309
C42:  HAP2 HAP3 HAP4 HAP5
C43:  CAF130 CAF40 CCR4 CDC36 CDC39 MOT2 NOT3 NOT5 POP2
C44:  CDC24 FAR1 STE18 STE4
C45:  CDC28 CLB1
C46:  CDC28 CLB2
C47:  CDC28 CLB3
C48:  CDC28 CLB4
C49:  CDC28 CLB5
C50:  CDC28 CLB6
C51:  CDC28 CLN1
C52:  CDC28 CLN2
C53:  CDC28 CLN3
C54:  CDC42 STE20
C55:  CDC48 UFD1 NPL4
C56:  CDC73 CTR9 HPR1 LEO1 PAF1 RTF1 CCR4
C57:  CDC7 DBF4
C58:  CCT2 CCT3 CCT4 CCT5 CCT6 CCT7 CCT8 TCP1
C59:  DLS1 DPB4 ISW2 ITC1
C60:  CAC2 MSI1 RLF2
C61:  SIR2 SIR3 SIR4
C62:  ARF1 BCH1 BCH2 BUD7 CHS5 CHS6
C63:  CHZ1 HTB1 HTZ1
C64:  CHC1 CLC1
C65:  SCC2 SCC4
C66:  AME1 CTF19 MCM21 OKP1
C67:  CBC2 MSL5 MUD2 STO1 SMB1 SMD1 SMD2 SMD3 SME1 SMX2 SMX3 LUC7 MUD1 NAM8 PRP39 PRP40 PRP42 SNP1 SNU56 SNU71 YHC1
C68:  BRE2 SDC1 SET1 SHG1 SPP1 SWD1 SWD2 SWD3
C69:  COP1 GLO3 RET2 RET3 SEC21 SEC26 SEC27 SEC28
C70:  EMP24 ERP1 ERP2 ERV25 ERV46 SAR1 SEC13 SEC16 SEC23 SEC24 SEC31
C71:  PEP3 PEP5 VPS3 VPS16 VPS33 VPS8
C72:  COX1 COX14 MSS51
C73:  CSG2 CSH1
C74:  CSM1 LRS4
C75:  CTF3 MCM16 MCM22
C76:  CUL3 ELA1 ELC1 RAD16 RAD7
C77:  CKB2 IFH1 RRP7 UTP22
C78:  COB COR1 CYT1 QCR10 QCR2 QCR6 QCR7 QCR8 QCR9 RIP1
C79:  COX1 COX12 COX13 COX2 COX3 COX4 COX5A COX6 COX7 COX8 COX9
C80:  DYN1 DYN2 DYN3 PAC11
C81:  CSL4 DIS3 MTR3 RRP4 RRP40 RRP42 RRP43 RRP45 RRP46 SKI6
C82:  RPL10 RPL11A RPL11B RPL12A RPL12B RPL13A RPL13B RPL14A RPL14B RPL15A RPL15B RPL16A RPL16B RPL17A RPL17B RPL18A RPL18B RPL19A RPL19B RPL1A RPL1B RPL20A RPL20B RPL21A RPL21B RPL22A RPL22B RPL23A RPL23B RPL24A RPL24B RPL25 RPL26A RPL26B RPL27A RPL27B RPL28 RPL29 RPL2A RPL2B RPL3 RPL30 RPL31A RPL31B RPL32 RPL33A RPL33B RPL34A RPL34B RPL35A RPL35B RPL36A RPL36B RPL37A RPL37B RPL38 RPL39 RPL40A RPL40B RPL41A RPL41B RPL42A RPL42B RPL43A RPL43B RPL4A RPL4B RPL5 RPL6A RPL6B RPL7A RPL7B RPL8A RPL8B RPL9A RPL9B RPP0 RPP1A RPP1B RPP2A RPP2B
C83:  ASC1 RPS0A RPS0B RPS10A RPS10B RPS11A RPS11B RPS12 RPS13 RPS14A RPS14B RPS15 RPS16A RPS16B RPS17A RPS17B RPS18A RPS18B RPS19A RPS19B RPS1A RPS1B RPS2 RPS20 RPS21A RPS21B RPS22A RPS22B RPS23A RPS23B RPS24A RPS24B RPS25A RPS25B RPS26A RPS26B RPS27A RPS27B RPS28A RPS28B RPS29A RPS29B RPS3 RPS30A RPS30B RPS31 RPS4A RPS4B RPS5 RPS6A RPS6B RPS7A RPS7B RPS8A RPS8B RPS9A RPS9B
C84:  ASK1 DAD1 DAD2 DAD3 DAD4 DAM1 DUO1 HSK3 SPC19 SPC34
C85:  DCS1 DCS2
C86:  DCP1 DCP2
